id,incident_station_area,incident_ward,intersection,latitude,longitude,property_use
loc1694308,143,6,Erica Ave / Palm Dr,43.74426662,-79.44016241,301
loc1694310,325,13,Labatt Ave / River St,43.65976973,-79.35755999,861
loc1694311,313,13,Wellesley St E / Bleecker St,43.66729534,-79.37377791,861
loc1694313,134,12,Davisville Ave / Pailton Cres,43.69949299,-79.39088012,303
loc1694316,341,9,Keith Ave / Gilbert Ave,43.69039716,-79.46250619,848
loc1694317,421,5,Richardson Ave / Lester Ave,43.69172644,-79.47183341,896
loc1694339,423,4,Keele St / Annette St,43.66365367,-79.46380372,848
loc1694223,221,21,Danforth Rd / Savarin St,43.74323019,-79.24506118,891
loc1694233,226,19,Crescent Town Rd / Crescent Pl,43.69527443,-79.29239302,323
loc1694235,421,5,Lonborough Ave / Alyward St,43.69390638,-79.46927705,898
loc1694238,116,17,Sheppard Ave E / Rean Dr / Hawksbury Dr,43.76780378,-79.38313955,323
loc1694243,115,16,Don Mills Rd / Duncan Mill Rd / Graydon Hall Dr,43.76175187,-79.34722981,323
loc1694266,226,19,Thyra Ave / Dentonia Park Ave,43.69314473,-79.29129854,323
loc1694269,134,12,Mount Pleasant Rd / Roehampton Ave,43.70961555,-79.39065768,323
loc1694275,114,18,Beecroft Rd / Park Home Ave / Gibson Park Trl,43.7685233,-79.41632057,323
loc1694278,224,19,Lumsden Ave / Barrington Ave,43.69512966,-79.30348073,323
loc1694282,132,8,Bathurst St / Old Orchard Grv,43.72907163,-79.43202747,151
loc1694300,142,7,Jane St / Clair Rd / Spenvalley Dr,43.74124005,-79.51368528,323
loc1694224,133,5,Keele St / Lawrence Ave W,43.70865931,-79.47806218,511
loc1694234,341,8,Livingstone Ave / Locksley Ave,43.69710545,-79.44763567,331
loc1694268,413,1,Riverdale Dr / College St,43.73483994,-79.5612156,403
loc1694296,426,4,King St W / Queen St W / The Queensway / Roncesvalles Ave / Beaty Boulevard Parkette Trl,43.63871533,-79.44621942,124
loc1694304,133,8,Caledonia Rd / Leswyn Rd,43.71572914,-79.4676292,848
loc1694324,232,21,Kennedy Rd / Brigstock Rd,43.76129836,-79.27945774,629
loc1694326,114,18,Church Ave / Kenneth Ave,43.77467617,-79.40989884,114
loc1694335,442,5,Weston Rd / Wright Ave / Wilby Cres,43.69834277,-79.51131553,323
loc1694340,141,6,Chesswood Dr / Vanley Cres,43.75962865,-79.47818833,901
loc1694341,115,17,Sheppard Ave E / Yorkland Rd / Sheppard W 404 N Ramp / 404 N Sheppard W Ramp,43.77583271,-79.33775232,901
loc1694343,243,23,McCowan Rd / Sheppard Ave E,43.78962016,-79.25883875,906
loc1694225,132,8,Replin Rd / Tapestry Lane,43.71811843,-79.44318446,860
loc1694227,235,19,Westview Blvd / Holland Ave,43.71481069,-79.30410748,301
loc1694232,325,13,Sydenham St / Tracy St,43.65680703,-79.36256926,303
loc1694237,225,20,Kilmarnock Ave / Davidson Ave,43.71171285,-79.26251149,321
loc1694239,341,8,Castlefield Ave / Locksley Ave,43.70155565,-79.44844272,301
loc1694247,331,10,Stafford St / Wellington St W,43.64101279,-79.41025017,311
loc1694256,143,6,Almore Ave / Marwill St,43.74675456,-79.44442777,301
loc1694264,223,20,Kingston Rd / Parkcrest Dr,43.73593907,-79.22020414,848
loc1694265,443,2,Eglinton Ave W / Lloyd Manor Rd / Widdicombe Hill Blvd,43.67562285,-79.55767061,303
loc1694272,434,3,Horner Ave / Orianna Dr,43.6014121,-79.54649193,321
loc1694283,441,2,Marblehead Rd / Northcrest Rd,43.6929015,-79.55402537,301
loc1694285,343,12,Wychwood Ave / Louise Ave,43.68395132,-79.42389656,301
loc1694287,135,12,Ava Rd / Glenayr Rd,43.69783627,-79.42043428,301
loc1694289,125,16,Deauville Lane / St Dennis Dr,43.71836023,-79.3314064,323
loc1694290,143,6,Wilmington Ave / Overbrook Pl,43.76283679,-79.45692164,323
loc1694293,145,6,Maniza Rd / Gilley Rd,43.73585323,-79.46472495,301
loc1694299,113,22,Morecambe Gt / 51 Morecambe Gt,43.79817553,-79.33313206,303
loc1694301,325,13,Dundas St E / Mutual St,43.65682099,-79.37566601,323
loc1694309,146,7,Jethro Rd / June Ave,43.72038357,-79.51911701,301
loc1694312,442,5,Weston Rd / Sidney Belsey Cres,43.69324401,-79.5046713,303
loc1694320,241,22,Chester Le Blvd / Iangrove Ter,43.80052551,-79.33301047,303
loc1694321,215,25,Manaham Rd / Ravenview Dr,43.76850557,-79.16301828,301
loc1694322,345,9,Dufferin St / Armstrong Ave,43.66471535,-79.43743826,302
loc1694323,343,12,Vaughan Rd / Louise Ave,43.6844554,-79.42144176,322
loc1694325,121,15,Munro Blvd / Old Yonge St,43.74553615,-79.40033184,301
loc1694327,226,19,Wildwood Cres / Hollywood Cres,43.67841134,-79.31593463,301
loc1694328,345,9,Emerson Ave / Millicent St,43.66450272,-79.44310126,901
loc1694329,432,2,Markland Dr / Treeline Crt,43.63145373,-79.57061388,301
loc1694330,425,4,Bloor St W / Beresford Ave,43.65091158,-79.47723342,323
loc1694331,132,8,Bedford Park Ave / Ledbury St,43.72309381,-79.42340934,301
loc1694344,312,11,Bloor St W / St George St,43.66751687,-79.39983647,366
loc1694345,142,7,Arleta Ave / Grandravine Dr / Futura Parkette Trl,43.74807803,-79.50805643,303
loc1694347,132,8,Bathurst St / Prue Ave,43.70960357,-79.42746311,323
loc1694348,325,13,Gerrard St E / Pembroke St / Allan Gardens Trl,43.6609427,-79.37356518,848
loc1694349,232,21,Arden Thorpe Rd / Miramar Cres / Kootenay Cres,43.75040019,-79.24756966,301
loc1694228,231,24,Peking Rd / Nelson St,43.74858175,-79.22236721,323
loc1694294,125,16,Deauville Lane / St Dennis Dr,43.71836023,-79.3314064,323
loc1694315,442,5,Westpoint Lane / Sidney Belsey Cres,43.69120453,-79.50798209,323
loc1694319,234,24,Kingston Rd / Dale Ave,43.7513852,-79.20440557,323
loc1694229,332,10,Bay St,43.65215167,-79.38233604,156
loc1694263,115,17,Godstone Rd / Fairview Mall Dr,43.77963439,-79.34573511,301
loc1694291,315,11,Kensington Ave / St Andrew St,43.65405066,-79.4004299,401
loc1694244,415,1,Taber Rd / Brydon Dr,43.71875941,-79.57292066,123
loc1694254,141,6,Sharpecroft Blvd / Stilecroft Dr,43.75117799,-79.48964965,846
loc1694337,411,7,Wheatsheaf Cres / Checkers Crt,43.76112686,-79.52634302,846
loc1694262,426,4,Lake Shore Blvd W / Colborne Lodge Dr,43.63797013,-79.45896633,896
loc1694267,145,6,Winston Park Blvd / Deverell Cres,43.72707186,-79.4709781,896
loc1694305,133,8,Ameer Ave / Baycrest Ave,43.72782857,-79.44067259,902
loc1694307,441,1,Willowridge Rd / Winterset Cres,43.6777831,-79.57429876,903
loc1694284,221,21,Rutledge Ave / Khartoum Ave,43.73809218,-79.26089356,134
loc1694297,324,14,Riverdale Ave / Kiswick St,43.67183938,-79.33921609,132
loc1694288,343,12,St Clair Ave W / Tweedsmuir Ave,43.6841635,-79.41339429,901
loc1694292,145,6,Keele St / Tilbury Dr,43.73034321,-79.48297931,132
loc1694342,141,7,The Pond Rd / Ian Macdonald Blvd / Arboretum Lane / Shoreham Dr,43.77244242,-79.51139916,137
loc1694298,314,11,University Ave / Orde St,43.65870122,-79.38998391,612
loc1694303,431,3,Bloor St W / Grenview Blvd S,43.64810153,-79.50800314,898
loc1694336,334,10,York St / Lake Shore Blvd W,43.64146054,-79.38086871,896
loc1694302,314,13,Church St / Gloucester St,43.66737299,-79.38163829,323
loc1694306,325,13,Seaton St / Shuter St,43.65632009,-79.36862065,323
loc1694314,315,10,Vanauley Walk / Grange Crt,43.65143732,-79.39991581,323
loc1694334,325,13,Sherbourne St / Shuter St / Moss Park Trl,43.65616273,-79.37012259,323
loc1694332,443,1,Islington Ave / Resources Rd / Islington N 401 C E Ramp,43.70672416,-79.5511264,404
loc1694346,312,11,Bloor St E / Yonge St / Bloor St W,43.67022639,-79.38678806,144
loc1694350,423,9,Old Weston Rd / Rockwell Ave,43.67657395,-79.4638896,848
loc1694351,225,20,Birchmount Rd / Springbank Ave,43.69178674,-79.26181898,301
loc1694352,234,24,Toynbee Trl / Burnage Crt,43.75321024,-79.1979345,837
loc1694353,441,2,Feller Rd / Lavington Dr,43.68995605,-79.56376794,331
loc1694354,413,1,Penlea Ave / Taysham Cres,43.74117877,-79.58012319,896
loc1694355,323,14,Boultbee Ave / Jones Ave,43.67266068,-79.3370674,301
loc1694356,435,3,Oxford St / Wesley St,43.62309598,-79.49790013,999
loc1694357,244,22,Sheppard Ave E / Palmdale Dr,43.77798049,-79.31120651,323
loc1694358,411,7,Rowntree Mill Rd / Emily Ave / Hathor Cres,43.75362026,-79.57729451,861
loc1694359,331,10,Jefferson Ave / Liberty St,43.63811033,-79.42158118,331
loc1694360,423,4,Annette St / Mavety St,43.6637816,-79.46522989,311
loc1694361,434,3,Brown's Line / Dover Dr,43.59576862,-79.5425606,321
loc1694362,333,14,Lake Shore Blvd E / Saulter St S,43.65204779,-79.34429302,837
loc1694363,415,1,Grierson Rd / Allenby Ave,43.71349174,-79.54420962,861
loc1694364,223,20,Bluffers Park Rd / Brimley Rd S,43.70721537,-79.23538569,861
loc1694365,432,3,The West Mall / Westside Dr,43.61901312,-79.56360349,903
loc1694366,421,5,Donald Ave / Silverthorn Ave,43.68628952,-79.46654924,302
loc1694367,213,25,Quantrell Trl / Wickson Trl / Lowry Sq,43.80333575,-79.21196746,303
loc1694368,324,14,Kintyre Ave / Broadview Ave,43.66047415,-79.35051924,132
loc1694369,343,12,St Clair Ave W / Tweedsmuir Ave,43.6841635,-79.41339429,862
loc1694370,334,10,Lake Shore Blvd W / Dan Leckie Way,43.63746415,-79.39722675,301
loc1694371,422,4,Althea Rd / Varsity Rd,43.66172711,-79.49882814,302
loc1694372,342,9,Davenport Rd / Lansdowne Ave,43.67155746,-79.4483038,896
loc1694373,145,7,Wilson Ave / Jethro Rd,43.71876139,-79.51842938,896
loc1694374,413,1,Kendleton Dr / Warrendale Crt,43.73634816,-79.58104927,323
loc1694375,331,10,Ryerson Ave / Wolseley St,43.64841133,-79.402364,799
loc1694376,112,18,Finch Ave W / Senlac Rd,43.776494,-79.43025534,906
loc1694377,412,1,Huddersfield Rd / Claireville Dr,43.74208471,-79.62607253,651
loc1694378,326,14,Hiawatha Rd / Dundas St E,43.6680865,-79.32127464,302
loc1694379,115,17,Godstone Rd / Kempsell Cres,43.7817653,-79.34680223,896
loc1694380,422,5,Eileen Ave / Bernice Cres,43.66942186,-79.4961619,301
loc1694381,432,3,Shorncliffe Rd / Bramshott Rd,43.62701453,-79.54261819,791
loc1694382,123,16,Don Mills Rd / Kern Rd,43.75008579,-79.34687339,405
loc1694383,142,7,Finch Ave W / Oakdale Rd / Norfinch Dr,43.75592855,-79.5242871,134
loc1694384,114,18,Yonge St / Hillcrest Ave,43.76747175,-79.41244857,405
loc1694385,413,1,Martin Grove Rd / Milkwood Ave,43.73011518,-79.58855831,134
loc1694386,234,24,Kingston Rd / Overture Rd / Payzac Ave,43.7589703,-79.19758013,231
loc1694387,243,21,Borough Dr / Town Centre Crt,43.77439656,-79.25354969,898
loc1694388,214,25,Kingston Rd / Graham Farm Lane,43.80238586,-79.14072217,901
loc1694389,344,12,Wells Hill Ave / Nina St,43.68034446,-79.41438833,301
loc1694390,141,6,Ceramic Rd / Ashwarren Rd,43.75735904,-79.48453969,901
loc1694391,425,4,Bloor St W / Mossom Rd / South Kingsway,43.64831234,-79.48575258,321
loc1694392,133,5,Keele St / Lawrence Ave W,43.70865931,-79.47806218,501
loc1694393,133,8,Caledonia Rd / Lotherton Ptwy,43.70594621,-79.46516171,323
loc1694394,325,13,Sherbourne St / Shuter St / Moss Park Trl,43.65616273,-79.37012259,323
loc1694395,114,18,Doris Ave / Empress Ave,43.76972879,-79.41080926,323
loc1694396,413,1,Calstock Dr / Allcroft Dr,43.73591585,-79.55643736,336
loc1694397,441,1,Carlingview Dr / Disco Rd,43.69974642,-79.60147424,848
loc1694398,146,6,Epic Lane Rd / Smallwood Dr / William Cragg Dr,43.72302578,-79.50634484,301
loc1694399,413,1,Honbury Rd / Benstrow Ave,43.74078553,-79.57604746,301
loc1694400,443,1,Maplebranch Path,43.69835952,-79.54596188,848
loc1694401,125,16,Eglinton Ave E / Ibm Eglinton W Ramp,43.71787929,-79.34725837,861
loc1694402,224,19,Coleridge Ave / Lumsden Ave,43.6930207,-79.31493683,365
loc1694403,334,10,Spadina Ave / Lake Shore Blvd W / Lower Spadina Ave / Gardiner E Spadina Av Ramp / Waterfront Trl,43.63845371,-79.39222647,861
loc1694404,146,7,Chalkfarm Dr / Marlington Cres,43.72477238,-79.51042617,511
loc1694405,141,7,The Pond Rd / Ian Macdonald Blvd / Arboretum Lane / Shoreham Dr,43.77244242,-79.51139916,896
loc1694406,445,1,Dixon Rd / Dixon E 401 X E Ramp,43.69200594,-79.56880624,901
loc1694407,234,24,Lawrence Ave E / Overture Rd,43.76544706,-79.19947279,323
loc1694408,435,3,Lake Shore Blvd W / Superior Ave,43.61494943,-79.48866413,855
loc1694409,111,18,Centre Ave / Lillian St,43.79362961,-79.40925675,301
loc1694410,443,2,Royal York Rd / Edgehill Rd,43.66490981,-79.51916198,862
loc1694411,314,13,Yonge St / Dundonald St,43.66584042,-79.38495387,323
loc1694412,314,13,Jarvis St / Gerrard St E,43.66043938,-79.37589958,898
loc1694413,242,23,Brimley Rd / Huntingwood Dr,43.79840745,-79.27336624,501
loc1694414,314,13,Yonge St / Wellesley St E / Wellesley St W,43.66493728,-79.38459589,322
loc1694415,412,1,Codlin Cres / Alcide St,43.74927882,-79.63524142,528
loc1694416,212,25,Morningside Ave / Morningside Ave N 401 C W Ramp,43.79685454,-79.19718091,898
loc1694417,341,9,Ennerdale Rd / Branstone Rd / Dynevor Rd,43.69114264,-79.45199482,301
loc1694418,321,15,Wicksteed Ave / Beth Nealson Dr,43.7133772,-79.34655896,622
loc1694419,243,23,Rural Ave / Glen Watford Dr,43.78785512,-79.27637881,896
loc1694420,142,7,Steeles Ave W / Signet Dr,43.77092008,-79.54344814,896
loc1694421,433,3,Manitoba St / Wesley St,43.62225886,-79.49754276,603
loc1694422,333,13,Front St E / Frederick St,43.65010018,-79.36907403,848
loc1694423,426,9,Bloor St W / Lansdowne Ave,43.65833841,-79.44273403,848
loc1694424,314,13,Carlton St / Mutual St,43.6621372,-79.37800814,898
loc1694425,411,7,Aviemore Dr / Franel Cres,43.75247438,-79.57052155,173
loc1694426,342,9,Harvie Ave / Ascot Ave,43.67865656,-79.4507281,901
loc1694427,231,24,Markham Rd / Eglinton Ave E,43.74318201,-79.21891354,896
loc1694428,411,7,Finch Ave W / Finch 400 S Ramp,43.75443688,-79.53090493,902
loc1694429,231,24,Lawrence Ave E / Scarborough Golf Club Rd,43.76185204,-79.21583812,323
loc1694430,115,16,DVP / York Mills Rd / York Mills E Dvp N Ramp,43.75831804,-79.33559825,323
loc1694431,342,12,Genessee Ave / Westmount Ave,43.68810543,-79.44591334,850
loc1694432,411,0,Steeles Ave W / Fenmar Dr,43.76654539,-79.56478429,848
loc1694433,112,6,Ivan Nelson Dr / Robert Hicks Dr,43.77273966,-79.45574447,323
loc1694434,345,9,Dufferin St / Dupont St,43.66846482,-79.43903592,896
loc1694435,242,0,"STEELES AVE E, OLD KENNEDY RD",43.82526418,-79.30027473,848
loc1694436,221,20,Eglinton Ave E / Commonwealth Ave,43.73480705,-79.25683856,848
loc1694437,426,4,Jameson Ave / Laxton Ave,43.6396028,-79.43693152,323
loc1694438,315,10,Spadina Ave / Dundas St W,43.65294432,-79.39805,896
loc1694439,315,11,College St / Augusta Ave,43.65738289,-79.40320031,896
loc1694440,222,20,Manville Rd / Comstock Rd,43.72227322,-79.28170832,749
loc1694441,426,4,Parkside Dr / Spring Rd,43.64098631,-79.45465446,861
loc1694442,334,10,York St / Lakeshore W York St Ramp / York St Gardiner W Ramp,43.64205967,-79.38111258,323
loc1694443,142,7,Hullmar Dr / Bloomington Cres,43.76117728,-79.52458473,301
loc1694444,442,5,Weston Rd / Wright Ave / Wilby Cres,43.69834277,-79.51131553,301
loc1694445,225,20,Danforth Ave / Byng Ave,43.69303228,-79.28018434,498
loc1694446,245,21,Roselm Rd / Guild Hall Dr,43.74784701,-79.29203053,301
loc1694447,141,7,Assiniboine Rd / Sentinel Rd,43.76826829,-79.5017018,301
loc1694448,431,4,Bloor St W / Riverside Dr,43.6481015,-79.49084436,862
loc1694449,426,4,King St W / Tyndall Ave,43.63858278,-79.42913565,323
loc1694450,331,10,Bellwoods Pk / Crawford St,43.64902361,-79.41665403,216
loc1694451,114,18,Yonge St / Holmes Ave,43.77789097,-79.41508655,151
loc1694452,243,22,Village Green Sq,43.7781493,-79.28147246,679
loc1694453,341,8,Dufferin St / Eglinton Ave W,43.695692,-79.45027898,331
loc1694454,341,12,Glenholme Ave / Amherst Ave,43.69077687,-79.44344162,365
loc1694455,312,11,Avenue Rd / Pears Ave,43.67555272,-79.39694142,323
loc1694456,325,13,Oak St / River St,43.66241553,-79.35868759,323
loc1694457,145,6,Keele St / Sir William Hearst Ave / 401 C W Keele St Ramp / Keele St S 401 C W Ramp,43.72444324,-79.48159004,848
loc1694458,133,5,Falstaff Ave / Amber Cres,43.71991316,-79.48341551,896
loc1694459,133,5,Keele St / Rustic Rd,43.71786936,-79.48012475,848
loc1694460,314,11,Terauley Lane / Grenville St,43.66146685,-79.38653056,323
loc1694461,223,20,Adanac Dr / Bellamy Rd S / McCowan District Park Trl,43.73998098,-79.22792794,323
loc1694462,442,2,Scarlett Rd / Alma Dr / Scarlettwood Crt,43.69262539,-79.51749313,303
loc1694463,235,16,Bermondsey Rd / Mobile Dr,43.72522766,-79.31378118,946
loc1694464,313,13,Carlton St / Jarvis St,43.66241886,-79.37671694,896
loc1694465,314,13,Church St / Gloucester St,43.66737299,-79.38163829,323
loc1694466,142,7,Driftwood Ave / Hoover Cres,43.76370448,-79.51362577,861
loc1694467,116,21,Warden Ave / 401 C E Warden N Ramp,43.76976981,-79.3038462,896
loc1694468,111,18,Maxome Ave / Northwood Dr,43.7935664,-79.4020325,301
loc1694469,342,9,Nairn Ave / Hope St,43.68112592,-79.45042989,302
loc1694470,115,17,Glentworth Rd / Marowyne Dr,43.77707657,-79.35799928,301
loc1694471,333,13,Queen St E / Bond St,43.65291793,-79.37695184,848
loc1694472,421,5,Syndicate Ave / Dennis Ave,43.68440144,-79.48831163,301
loc1694473,413,1,Stevenson Rd / Silverstone Dr,43.74344679,-79.58744858,323
loc1694474,432,2,Mayland Ave / Bridgetown Dr,43.63683407,-79.56772328,336
loc1694475,325,13,Queen St E / St Paul St,43.65647949,-79.36051378,303
loc1694476,325,13,Aberdeen Ave / Parliament St,43.66505747,-79.36829878,322
loc1694477,345,9,Primrose Ave / Brandon Ave,43.66929313,-79.44498291,799
loc1694478,145,6,Anthony Rd / Ionic Lane,43.73016758,-79.4620285,301
loc1694479,313,13,Wellesley St E / Bleecker St,43.66729534,-79.37377791,323
loc1694480,235,16,Wigmore Dr / Elvaston Dr / Belper Crt,43.72999982,-79.30645563,323
loc1694481,332,10,University Ave / Wellington St W,43.64638371,-79.38409993,896
loc1694482,232,21,Deerfield Rd / Gully Dr,43.74461695,-79.25601178,301
loc1694483,142,6,Sentinel Rd / Brookwell Dr / Streamdale Crt,43.74459861,-79.49224057,848
loc1694484,423,4,Indian Rd / Annette St,43.66413717,-79.45945604,861
loc1694485,221,20,McCowan Rd / Landmark Blvd,43.73813477,-79.23793632,896
loc1694486,235,21,Craigton Dr / Rannock St,43.72794186,-79.30048474,861
loc1694487,233,16,Knighton Dr / Murellen Cres,43.73927805,-79.313187,301
loc1694488,314,11,Yonge St / Gould St,43.65741595,-79.38136996,896
loc1694489,311,11,Macpherson Ave / Molson St,43.67827859,-79.39449646,302
loc1694490,344,12,Walmer Rd / Austin Ter,43.67848466,-79.41026175,111
loc1694491,225,20,Parnell Ave / Jeavons Ave,43.70568507,-79.2664532,301
loc1694492,426,4,Melbourne Ave / Melbourne Pl,43.64041956,-79.42883406,842
loc1694493,442,5,Weston Rd / Clouston Ave,43.69471045,-79.50637968,651
loc1694494,411,7,Finch Ave W / Ardwick Blvd / Pearldale Ave,43.74776507,-79.56235969,898
loc1694495,146,7,Weston Rd / Albion Rd Weston Rd Ramp / Weston Rd S 401 C W Ramp,43.71594214,-79.53725356,861
loc1694496,333,10,Wilton St / Market St,43.64763714,-79.37150339,323
loc1694497,443,1,Maplebranch Path,43.69835952,-79.54596188,303
loc1694498,142,7,Hullmar Dr / Peter Kaiser Gt,43.77311579,-79.5263717,896
loc1694499,444,2,Rathburn Rd / Elmcrest Rd,43.64752711,-79.58683178,861
loc1694500,444,2,Rathburn Rd / Elmcrest Rd,43.64752711,-79.58683178,861
loc1694501,333,14,Regatta Rd / Unwin Ave,43.64211312,-79.34122115,861
loc1694502,315,11,Harbord St / Robert St,43.66269922,-79.40386716,501
loc1694503,112,6,Antibes Dr / Plum Treeway,43.78174799,-79.44657822,323
loc1694504,211,25,Sewell's Rd / Steeles Ave E,43.84620382,-79.20929595,901
loc1694505,113,17,Don Mills Rd E / Deerford Rd,43.78541598,-79.35073337,323
loc1694506,231,24,Newark Rd / Milford Haven Dr,43.77589585,-79.22001576,301
loc1694507,324,14,Gerrard St E / Logan Ave,43.667095,-79.34519556,331
loc1694508,142,7,Sheppard Ave W / Laura Rd,43.73780667,-79.52013438,896
loc1694509,413,1,John Garland Blvd / Jamestown Cres,43.7325074,-79.58641719,901
loc1694510,133,5,Culford Rd / Vanwyck Rd,43.70570665,-79.48738569,323
loc1694511,131,15,Doncliffe Dr / Forest Glen Cres,43.73505457,-79.40345233,901
loc1694512,423,4,Parkside Dr / Spring Rd,43.64098631,-79.45465446,848
loc1694513,112,6,Steeles Ave W / Torresdale Ave,43.7908118,-79.45303464,323
loc1694514,341,8,Dufferin St / Eglinton Ave W,43.695692,-79.45027898,832
loc1694515,311,12,St Clair Ave W / Poplar Plains Rd,43.68614493,-79.40388319,323
loc1694516,114,18,Beecroft Rd / Park Home Ave / Gibson Park Trl,43.7685233,-79.41632057,323
loc1694517,326,14,Dundas St E / Ashdale Ave,43.66833236,-79.32018233,302
loc1694518,225,20,Kingston Rd / Sandown Ave,43.70877676,-79.24976917,403
loc1694519,441,1,Disco Rd / Brockport Dr,43.70263458,-79.58911966,848
loc1694520,135,12,Elmsthorpe Ave / College View Ave,43.70234255,-79.41025779,301
loc1694521,315,11,College St / Bathurst St,43.65648196,-79.40772294,848
loc1694522,133,5,Keele St / Rustic Rd,43.71786936,-79.48012475,896
loc1694523,413,1,Sanagan Rd / Felan Cres,43.73764688,-79.57835582,891
loc1694524,421,5,Rogers Rd / Forbes Ave,43.68183448,-79.4748724,896
loc1694525,234,24,Lawrence Ave E / Florist Lane,43.7679299,-79.18837002,323
loc1694526,443,2,Swordbill Dr / Newell Crt,43.6806115,-79.52381331,323
loc1694527,345,9,Bloor St W / Gladstone Ave,43.66014528,-79.43411316,501
loc1694528,445,3,Nora Rd / Royalavon Cres,43.64696512,-79.53478624,301
loc1694529,331,10,Bellwoods Pk / Crawford St,43.64902361,-79.41665403,229
loc1694530,431,3,Royal York Rd / Government Rd,43.65774005,-79.51603489,896
loc1694531,313,13,Bloor St E / Parliament St,43.67200954,-79.37069714,861
loc1694532,313,11,Ancroft Pl / Sherbourne St N,43.67386228,-79.3774043,861
loc1694533,345,9,Salem Ave / Southview Ave / Dovercourt Park Trl,43.66460846,-79.43328072,848
loc1694534,345,9,Wallace Ave / Lansdowne Ave,43.6623591,-79.44441661,365
loc1694535,221,20,Midland Ave / Greystone Walk Dr,43.72387766,-79.25352845,848
loc1694536,322,14,Don Mills Rd / Dvp N Don Mills Rd S Ramp,43.69840079,-79.33823539,323
loc1694537,423,4,West Rd / Colborne Lodge Dr / High Park Trl,43.65341242,-79.46517055,848
loc1694538,324,14,Simpson Ave / Broadview Ave / Jack Layton Way,43.66616068,-79.35291107,501
loc1694539,125,15,Glenorchy Rd / Araz Pl,43.72858945,-79.36498264,301
loc1694540,114,18,Yonge St / Connaught Ave,43.78936169,-79.41791999,599
loc1694541,142,7,Driftwood Ave / Futura Dr,43.75013462,-79.51139077,498
loc1694542,411,7,Weston Rd / Lanyard Rd,43.74823355,-79.54160883,323
loc1694543,322,14,Todmorden Lane / Cosburn Ave,43.69009271,-79.34536866,323
loc1694544,313,13,Wellesley St E / Ontario St,43.66763494,-79.37220824,323
